time,p_inlet,p_outlet,delta_p
2.924,5.24767,0.650266,4.597404
2.926,5.24767,0.650266,4.597404
2.928,5.24767,0.650266,4.597404
2.93,5.24767,0.650266,4.597404
2.932,5.24767,0.650266,4.597404
2.934,5.24767,0.650266,4.597404
2.936,5.24767,0.650265,4.597405
2.938,5.24767,0.650265,4.597405
2.94,5.24767,0.650266,4.597404
2.942,5.24767,0.650266,4.597404
2.944,5.24767,0.650265,4.597405
2.946,5.24767,0.650265,4.597405
2.948,5.24767,0.650266,4.597404
2.95,5.24767,0.650266,4.597404
2.952,5.24767,0.650266,4.597404
2.954,5.24767,0.650266,4.597404
2.956,5.24767,0.650266,4.597404
2.958,5.24767,0.650266,4.597404
2.96,5.24767,0.650266,4.597404
2.962,5.24767,0.650266,4.597404
2.964,5.24767,0.650266,4.597404
2.966,5.24767,0.650265,4.597405
2.968,5.24767,0.650265,4.597405
2.97,5.24767,0.650266,4.597404
2.972,5.24767,0.650266,4.597404
2.974,5.24767,0.650266,4.597404
2.976,5.24767,0.650265,4.597405
2.978,5.24767,0.650265,4.597405
2.98,5.24767,0.650266,4.597404
2.982,5.24767,0.650266,4.597404
2.984,5.24767,0.650266,4.597404
2.986,5.24767,0.650266,4.597404
2.988,5.24767,0.650266,4.597404
2.99,5.24767,0.650266,4.597404
2.992,5.24767,0.650266,4.597404
2.994,5.24767,0.650266,4.597404
2.996,5.24767,0.650266,4.597404
2.998,5.24767,0.650265,4.597405
3.0,5.24767,0.650265,4.597405
