time,p_inlet,p_outlet,delta_p
0.56,5.24767,0.650266,4.597404
0.562,5.24767,0.650266,4.597404
0.564,5.24767,0.650265,4.597405
0.566,5.24767,0.650265,4.597405
0.568,5.24767,0.650266,4.597404
0.57,5.24767,0.650266,4.597404
0.572,5.24767,0.650266,4.597404
0.574,5.24767,0.650266,4.597404
0.576,5.24767,0.650266,4.597404
0.578,5.24767,0.650265,4.597405
0.58,5.24767,0.650265,4.597405
0.582,5.24767,0.650266,4.597404
0.584,5.24767,0.650266,4.597404
0.586,5.24767,0.650265,4.597405
0.588,5.24767,0.650265,4.597405
0.59,5.24767,0.650266,4.597404
0.592,5.24767,0.650266,4.597404
0.594,5.24767,0.650265,4.597405
0.596,5.24767,0.650265,4.597405
0.598,5.24767,0.650266,4.597404
0.6,5.24767,0.650266,4.597404
0.602,5.24767,0.650265,4.597405
0.604,5.24767,0.650265,4.597405
0.606,5.24767,0.650265,4.597405
0.608,5.24767,0.650266,4.597404
0.61,5.24767,0.650266,4.597404
0.612,5.24767,0.650266,4.597404
0.614,5.24767,0.650266,4.597404
0.616,5.24767,0.650265,4.597405
0.618,5.24767,0.650265,4.597405
0.62,5.24767,0.650266,4.597404
0.622,5.24767,0.650266,4.597404
0.624,5.24767,0.650265,4.597405
0.626,5.24767,0.650265,4.597405
0.628,5.24767,0.650266,4.597404
0.63,5.24767,0.650266,4.597404
0.632,5.24767,0.650266,4.597404
0.634,5.24767,0.650265,4.597405
0.636,5.24767,0.650265,4.597405
0.638,5.24767,0.650266,4.597404
0.64,5.24767,0.650266,4.597404
0.642,5.24767,0.650266,4.597404
0.644,5.24767,0.650266,4.597404
0.646,5.24767,0.650265,4.597405
0.648,5.24767,0.650265,4.597405
0.65,5.24767,0.650266,4.597404
0.652,5.24767,0.650266,4.597404
0.654,5.24767,0.650265,4.597405
0.656,5.24767,0.650265,4.597405
0.658,5.24767,0.650266,4.597404
0.66,5.24767,0.650266,4.597404
0.662,5.24767,0.650266,4.597404
0.664,5.24767,0.650265,4.597405
0.666,5.24767,0.650265,4.597405
0.668,5.24767,0.650266,4.597404
0.67,5.24767,0.650266,4.597404
0.672,5.24767,0.650266,4.597404
0.674,5.24767,0.650266,4.597404
0.676,5.24767,0.650265,4.597405
0.678,5.24767,0.650265,4.597405
0.68,5.24767,0.650266,4.597404
0.682,5.24767,0.650266,4.597404
0.684,5.24767,0.650266,4.597404
0.686,5.24767,0.650265,4.597405
0.688,5.24767,0.650265,4.597405
0.69,5.24767,0.650266,4.597404
0.692,5.24767,0.650266,4.597404
0.694,5.24767,0.650265,4.597405
0.696,5.24767,0.650265,4.597405
0.698,5.24767,0.650266,4.597404
0.7,5.24767,0.650266,4.597404
0.702,5.24767,0.650265,4.597405
0.704,5.24767,0.650265,4.597405
0.706,5.24767,0.650266,4.597404
0.708,5.24767,0.650266,4.597404
0.71,5.24767,0.650266,4.597404
0.712,5.24767,0.650266,4.597404
0.714,5.24767,0.650266,4.597404
0.716,5.24767,0.650265,4.597405
0.718,5.24767,0.650265,4.597405
0.72,5.24767,0.650266,4.597404
0.722,5.24767,0.650266,4.597404
0.724,5.24767,0.650265,4.597405
0.726,5.24767,0.650265,4.597405
0.728,5.24767,0.650266,4.597404
0.73,5.24767,0.650266,4.597404
0.732,5.24767,0.650265,4.597405
0.734,5.24767,0.650265,4.597405
0.736,5.24767,0.650266,4.597404
0.738,5.24767,0.650266,4.597404
0.74,5.24767,0.650266,4.597404
0.742,5.24767,0.650266,4.597404
0.744,5.24767,0.650266,4.597404
0.746,5.24767,0.650265,4.597405
0.748,5.24767,0.650265,4.597405
0.75,5.24767,0.650266,4.597404
0.752,5.24767,0.650266,4.597404
0.754,5.24767,0.650265,4.597405
0.756,5.24767,0.650265,4.597405
0.758,5.24767,0.650266,4.597404
0.76,5.24767,0.650266,4.597404
0.762,5.24767,0.650266,4.597404
0.764,5.24767,0.650265,4.597405
0.766,5.24767,0.650265,4.597405
0.768,5.24767,0.650266,4.597404
0.77,5.24767,0.650266,4.597404
